Merchant,2021-09-12,2021-09-18,2021-09-24
SpringHill Suites,0.04,0.045,0.045
Springboard,0.025,0.025,0.025
Spy Associates,0.03,0.03,0.03
Spy Optic,0.025,0.025,0.025
Spyder,0.015,0.015,0.015
St. John Knits,0.03,0.03,0.06
St. Tropez,0.035,0.035,0.075
StackedSkincare,0.035,0.035,0.035
Stacy Adams,0.025,0.025,0.025
Stadium Goods,0.03,0.03,0.03
Stags' Leap,0.035,0.035,0.035
Standard Textile,0.04,0.04,0.04
Stanley,0.03,0.03,0.03
Staples,0.02,0.02,0.02
Staples Copy and Print,0.05,0.05,0.05
Star Market,0.01,0.01,0.01
Starlight Lighting,0.04,0.04,0.04
State,0.025,0.025,0.025
State Cashmere,0.04,0.04,0.04
State Line Tack,0.03,0.03,0.03
Station Casinos,0.025,0.025,0.025
StayBridge Suites by IHG,0.03,0.03,0.03
SteelSeries,0.02,0.02,0.02
Steepandcheap.com,0.03,0.03,0.03
Step2,0.04,0.04,0.04
Sterling Forever,0.05,0.05,0.05
Sterling Vineyards,0.035,0.035,0.035
Steve Madden,0.02,0.02,0.02
StickerYou,0.025,0.025,0.025
Stila Cosmetics,0.035,0.035,0.035
Stio.com,0.03,0.03,0.03
Stitch Golf,0.02,0.03,0.03
StockX,0.01,0.01,0.01
StockYards,0.025,0.025,0.025
Stonewall Kitchen,0.04,0.04,0.04
Stop Aging Now,0.03,0.03,0.03
Storets,0.01,0.01,0.01
Straight Talk,0.04,0.04,0.04
StrawberryNET,0.04,0.04,0.04
StriVectin,0.04,0.04,0.04
Stride Rite,0.015,0.015,0.015
Stuart Weitzman,0.06,0.06,0.1
StubHub,0.02,0.02,0.02
Style Passport,0.02,0.02,0.02
Suburban Extended Stay by Choice Hotels,0.03,0.01,0.01
SugarBearHair,0.05,0.05,0.05
Sulwhasoo,0.015,0.015,0.015
Sundry,0.05,0.05,0.05
Sunglass Hut,0.04,0.04,0.04
Sunglass Outlet,0.05,0.05,0.05
Sunglass Warehouse,0.075,0.075,0.075
Sunny Sports,0.025,0.025,0.025
Sunski,0.025,0.025,0.025
Super Jeweler,0.04,0.04,0.04
Super Naturals Health,0.5,0.5,0.5
Superdry,0.03,0.03,0.03
Superfeet,0.02,0.02,0.02
Superga,0.03,0.03,0.03
Supergoop,0.03,0.03,0.03
Supersmile,0.04,0.04,0.04
Supplement Hunt,0.05,0.05,0.05
SuppliesOutlet,0.085,0.085,0.085
Supreme Suspensions,0.025,0.025,0.025
SureFit,0.05,0.05,0.05
Surfshark,0.3,0.6,0.3
SuzanneSomers.com,0.04,0.04,0.04
Swann,0.03,0.03,0.03
Swanson,0.03,0.03,0.03
Sweet Chef,0.055,0.055,0.055
Sweet Night,0.06,0.06,0.06
Swiss Army,0.04,0.04,0.04
Swiss Diamond,0.05,0.05,0.05
Swiss International Air Lines,0.01,0.01,0.01
Swyft Filings,0.02,0.02,0.02
Sylvane,0.02,0.02,0.02
Szul.com,0.03,0.03,0.03
T.M.Lewin,0.04,0.04,0.04
T3,0.04,0.04,0.04
TCM Store,0.025,0.025,0.025
TEMPTU Pro,0.05,0.05,0.05
TGW The Golf Warehouse,0.015,0.015,0.015
THAKOON,0.03,0.03,0.03
THE YES,0.03,,
TOMS,0.04,0.08,0.04
TOMS Surprise Sale,0.015,0.015,0.015
TPH By Taraji,0.03,0.03,0.03
TREBLAB,0.07,0.07,0.07
TRX Training,0.025,0.025,0.04
TUMI,0.01,0.01,0.01
TUSHY,0.02,0.02,0.02
TV Store Online,0.075,0.075,0.075
Tablet Hotels,0.015,0.015,0.015
TackleDirect,0.015,0.015,0.015
Tailored Pet Nutrition,0.06,0.06,0.06
Takeya,0.025,0.025,0.025
Tamara Mellon,0.04,0.04,0.04
Tanga,0.01,0.01,0.01
Taos Footwear,0.05,0.05,0.05
Target,0.01,0.01,0.01
Target Optical,0.03,0.03,0.06
Targus,0.04,0.04,0.04
Tata Harper Skincare,0.04,0.04,0.04
Tatcha,0.04,0.04,0.04
TaxAct,0.05,0.05,0.05
TaxSlayer,0.05,0.05,0.05
Taylor Stitch,0.025,0.025,0.025
TaylorMade Golf,0.01,0.01,0.01
Teadora Beauty,0.075,0.075,0.075
Tech for Less,0.03,0.03,0.03
Ted Baker,0.04,0.1,0.07
Teleflora Flowers,0.1,0.1,0.1
Teleties,0.04,0.04,0.04
Temptu,0.05,0.05,0.05
Tempur-Pedic,0.03,0.03,0.03
Tenergy Power,0.04,0.04,0.04
Tervis,0.03,0.03,0.03
Tessabit,0.05,0.05,0.05
TestMax Prep,0.02,0.02,0.02
Teva,0.04,0.04,0.04
TextbookX.com,0.0325,0.0325,0.0325
Textbooks.com,0.02,0.02,0.02
The Adventure Challenge,0.025,0.025,0.025
The Animal Rescue Site,0.01,0.01,0.01
The Art of Shaving,0.04,0.04,0.08
The Body Shop,0.03,0.03,0.08
The Book Depository,0.025,0.025,0.025
The Bouqs Company,0.06,0.06,0.06
The Children's Place,0.015,0.015,0.03
The Company Store,0.02,0.02,0.02
The Container Store,0.015,0.015,0.015
The Design Network,0.015,0.015,0.015
The FretWire,0.025,0.025,0.025
The Fruit Company,0.015,0.015,0.015
The Frye Company,0.05,0.05,0.05
The Gallery Collection,0.02,0.02,0.125
The Great Courses,0.025,0.025,0.025
The Grommet,0.01,0.01,0.01
The Halloween Spot,0.05,0.05,0.05
The Happy Planner,0.02,0.02,0.02
The Honest Bison,0.03,0.03,0.03
The Honest Company,0.01,0.01,0.01
The House,0.045,0.045,0.045
The Hungry JPEG,0.025,0.025,0.025
The Knot Invitations,0.03,0.05,0.05
The Kooples,0.03,0.03,0.03
The LINQ Hotel + Experience,0.025,0.025,0.025
The Last Coat,0.05,0.05,0.05
The Laundress,0.03,0.03,0.03
The London Pass,0.015,0.015,0.015
The Luxury Closet,0.05,0.05,0.05
The Maca Team,0.07,0.07,0.07
The Met,0.025,0.025,0.025
The Mint Julep Boutique,0.035,0.035,0.035
The Mountain,0.02,0.02,0.02
The New York Times Store,0.05,0.05,0.05
The New Yorker,0.3,0.3,0.3
The North Face,0.02,0.02,0.02
The Office of Angela Scott,0.02,0.02,0.02
The Outnet,0.015,0.015,0.015
The Paper Store,0.03,0.03,0.03
The Paris Pass,0.015,0.015,0.015
The Parking Spot,0.025,0.025,0.025
The Pearl Source,0.035,0.035,0.035
The Perfect Rug,0.065,0.065,0.065
The Perfume Spot,0.025,0.025,0.025
The Pink Lily Boutique,0.035,0.035,0.035
The Popcorn Factory,0.025,0.025,0.025
The Princeton Review,0.02,0.02,0.02
The Royal Mint,0.025,0.025,0.025
The Sak,0.06,0.06,0.06
The Shade Store,0.01,0.01,0.01
The Supplies Shops,0.03,0.03,0.03
The Tot,0.02,0.02,0.02
The Venetian Las Vegas,0.01,0.01,0.01
The Webster,0.03,0.03,0.03
The White Company,0.03,0.03,0.03
TheRealReal,0.025,0.025,
Theory,0.02,0.02,0.02
Theory Outlet,0.02,0.02,0.02
Therabody,0.03,0.03,0.03
ThinOptics,0.05,0.05,0.05
Things Remembered,0.04,0.04,0.04
Thorlos,0.05,0.05,0.05
Threadless,0.015,0.015,0.015
Threads 4 Thought,0.035,0.035,0.035
Thrifty Car Rental,0.03,0.03,0.03
Thrive Market,0.01,0.01,0.01
Thymes,0.02,0.02,0.02
Ticket Club,0.25,0.25,0.25
Ticket Liquidator,0.05,0.05,0.05
TicketCity,0.03,0.03,0.03
TicketLite,0.1,0.1,0.1
TicketSmarter,0.03,0.03,0.03
Ticketnetwork.com,0.04,0.04,0.04
TicketsNow,0.03,0.03,0.03
TigerDirect,0.015,0.015,0.015
Tile,0.02,0.02,0.02
Tilley Endurables,0.02,0.02,0.02
Timberland,0.02,0.02,0.02
Time For Me Catalog,0.025,0.025,0.025
Time Life,0.02,0.02,0.02
Timex,0.025,0.025,0.025
Tiny Prints,0.01,0.01,0.01
Tinyhood,0.025,0.025,0.025
Tipsy Elves,0.05,0.05,0.05
Tire America,0.03,0.03,0.03
Tire Rack,0.03,0.03,0.03
TireMart,0.03,0.03,0.03
Tirebuyer.com,0.03,0.03,0.03
Tod's,0.03,0.03,0.03
Todd Snyder,0.01,0.01,0.01
Tom Thumb,0.01,0.01,0.01
Tommy Bahama,0.01,0.01,0.01
Tommy Hilfiger,0.025,0.025,0.025
Tommy John,0.01,0.01,0.01
Toner Buzz,0.04,0.04,0.04
Tonies,0.02,0.02,0.02
Tony Robbins,0.075,0.075,0.075
Too Faced Cosmetics,0.05,0.05,0.05
Toolbarn,0.015,0.015,0.015
ToolsToday,0.015,0.015,0.015
Top Villas,0.02,0.02,0.02
Topdrawer,0.03,0.03,0.03
Tory Burch,0.02,0.02,0.02
Total Diabetes Supply,0.02,0.02,0.02
Total Gym,0.015,0.015,0.015
Total Wireless,0.04,0.04,0.04
Totes,0.04,0.04,0.04
Tous,0.03,0.03,0.03
TownePlace Suites,0.04,0.045,0.045
Toynk Toys,0.04,0.04,0.04
TracFone,0.04,0.04,0.04
Tractive,0.1,0.1,0.1
Tractor Supply Company,0.01,0.01,0.01
Trade Coffee,0.05,0.05,0.05
Traeger Grills,0.02,0.02,0.02
Trampoline Parts and Supply,0.05,0.05,0.05
Transform HQ,0.02,0.02,0.02
Transformer Table,0.01,0.01,0.01
Trask,0.035,0.035,0.035
Travelocity,0.035,0.035,0.035
Trend Micro,0.1,0.1,0.1
TriggerPoint,0.035,0.035,0.035
Trina Turk,0.025,0.025,0.025
Trip.com,0.025,0.025,0.025
Tripadvisor,0.045,0.045,0.045
Trish McEvoy,0.03,0.03,0.03
Trophy Skin,0.02,0.02,0.06
Tropicfeel,0.05,0.05,0.05
Trotters,0.04,0.04,0.04
Troy-Bilt,0.035,0.035,0.035
Tru Earth,,,0.015
True Botanicals,,0.04,0.04
True Leaf Market,0.015,0.015,0.015
True Religion,0.025,0.025,0.025
Trunk Club,0.05,0.05,0.05
Trust & Will,0.05,0.05,0.05
Truth Treatments,,0.05,0.05
Tuckernuck,0.02,0.02,0.025
Tuft & Needle,0.025,0.025,0.025
Tula Skincare,0.02,0.02,0.02
Tulo,0.035,0.035,0.035
TundraFMP Restaurant Supply,0.04,0.04,0.04
TunnelBear,0.5,0.5,0.5
Turbie Twist,0.045,0.045,0.045
TurboTax,0.075,0.075,0.075
TurnKey Vacation Rentals,0.025,0.025,0.025
Turntable Lab,0.02,0.02,0.02
Turtle Beach,0.025,0.025,0.025
Twillory,0.01,0.01,0.01
U Beauty,0.07,0.07,0.07
U.S. Outdoor,0.04,0.04,0.04
U.S. Polo Assn.,0.02,0.02,0.02
UGG,0.02,0.02,0.02
UGears,0.05,0.05,0.05
UNIONBAY,0.025,0.025,0.025
UNIQLO,0.035,0.01,0.01
UNTUCKit,0.015,0.015,0.015
Uber Eats,0.21,0.21,0.21
Ubisoft,0.02,0.02,0.02
Udemy,0.075,0.075,0.075
UglyChristmasSweater,0.075,0.075,0.075
Ulla Popken,0.04,0.04,0.04
Ulta Beauty,0.03,0.03,0.03
Umbra,0.015,0.015,0.015
Umbro,0.075,0.075,0.075
Unbeatable Sale,0.06,0.06,0.06
Under Armour,0.06,0.06,0.04
Undercover Tourist,0.01,0.01,0.01
Uniform City,0.04,0.04,0.04
Universal Standard,0.025,0.025,0.025
University of Florida Bookstore,,0.02,0.02
University of Michigan Ulrich’s Bookstore,,0.02,0.02
University of South Carolina Bookstore,,0.02,0.02
UntilGone.com,0.04,0.04,0.04
UpTrade,0.02,0.02,0.02
UpWest,0.03,0.03,0.03
Upsie,0.05,0.05,0.05
Urban Decay,0.03,0.075,0.075
Urban Outfitters,0.01,0.01,0.01
UrbanStems,0.03,0.03,0.03
UsedPhotoPro,0.025,0.025,0.025
Utrecht Art Supplies,0.015,0.015,0.015
VIDA,0.025,0.025,0.025
VIP Outlet,0.01,0.01,0.01
VIPRE Antivirus,0.375,0.375,0.375
VSP,0.015,0.015,0.015
Vagisil,0.03,0.03,0.03
Vahdam Teas,0.03,0.03,0.03
ValueMags,0.2,0.2,0.2
Vamps NYC,0.03,0.02,0.02
Van Heusen,0.03,0.03,0.03
Vanity Planet,0.1,0.1,0.1
Vans,0.02,0.02,0.02
Vault,0.1,0.1,0.1
Veestro,0.08,0.08,0.08
Vega,0.025,0.025,0.025
Vegamour,0.04,0.04,0.04
Vegas.com,0.035,0.035,0.035
Vejo,0.025,0.025,0.025
Velvet by Graham & Spencer,0.05,0.05,0.05
Vera Bradley,0.02,0.02,0.02
Vera Bradley Online Outlet,0.02,0.02,0.02
Verishop,0.12,0.12,0.06
Veronica Beard,0.03,0.06,0.06
Versed,0.03,0.03,0.03
Vessi,0.03,0.03,0.03
Vestiaire Collective,0.025,0.025,0.025
Vevor,0.015,0.015,0.015
ViX Swimwear,0.03,0.03,0.03
Viator - A TripAdvisor Company,0.08,0.08,0.06
Vichy,0.04,0.04,0.04
Victoria Emerson,0.04,0.04,0.04
Victorian Trading Co,0.03,0.03,0.03
Victrola,0.04,0.04,0.04
Vilebrequin,0.03,0.03,0.03
Villeroy and Boch,0.04,0.04,0.04
Vimeo,0.05,0.05,0.05
Vince,0.03,0.03,0.03
Vince Camuto,0.045,0.045,0.045
Vincero Collective,0.025,0.025,0.025
Violet Grey,0.05,0.05,0.05
Vionic,0.05,0.05,0.05
Virginia Tech Hokie Shop,,0.02,0.02
VisionPros,0.05,0.05,0.05
Vistaprint,0.06,0.03,0.03
VitaCup,0.06,0.06,0.06
Vitabrid,0.1,0.05,0.05
Vitacost,0.03,0.03,0.03
Vital Choice,0.02,0.02,0.02
Vital Proteins,0.04,0.04,0.04
Vital Sleep,0.025,0.025,0.025
VitalSource,0.02,0.02,0.02
Vitamin A Swim,0.03,0.03,0.03
Vitamin Shoppe,0.01,0.01,0.01
Vitamin World,0.08,0.08,0.08
Vitamix,0.045,0.045,0.045
Vitauthority,0.05,0.05,0.05
Vitrazza,0.04,0.04,0.04
VivaTerra,0.025,0.025,0.025
Vivid Seats,0.02,0.02,0.02
Vivino,0.04,0.08,0.04
Vivint,,0.15,0.15
Vivobarefoot,0.01,0.01,0.01
VogueWigs,0.03,0.03,0.03
Volcanica Coffee,0.025,0.025,0.05
Vons,0.01,0.01,0.01
Vudu,0.02,0.02,0.025
W&P,0.04,0.04,0.04
W3LL PEOPLE,0.05,0.05,0.05
WOW Skin Science,0.02,0.025,0.025
WSS,0.035,0.035,0.035
WW Shop,0.01,0.01,0.01
WWE Shop,0.04,0.04,0.04
Waders.com,0.04,0.04,0.04
Walgreens,0.03,0.03,0.03
Walk-In Lab,0.025,0.025,0.025
Walmart,0.06,0.06,0.06
Walmart eBooks by Rakuten kobo,0.025,0.05,0.05
Wander Beauty,0.05,0.05,0.05
Warby Parker,0.01,0.01,0.01
Warriors Shop,0.1,0.1,0.1
Watch Gang,0.03,0.03,0.03
Watch Station,0.015,0.015,0.015
WatchMaxx,0.02,0.02,0.02
Waterford.com,0.03,0.03,0.03
We Craft Box,0.05,0.05,0.05
We Wore What,0.05,0.05,0.05
Wear Pact,0.015,0.015,0.015
WebEyeCare,0.01,0.01,0.01
WebHostingPad,0.1,0.1,0.1
Webroot,0.05,0.06,0.06
Weddingstar,0.05,0.05,0.05
Wedgwood,0.03,0.03,0.03
WeeSprout,0.025,0.025,0.025
Weighted Evolution,0.04,0.04,0.04
Welcome All Beauty,0.04,0.04,0.04
Weleda,0.075,0.075,0.075
WelleCo,0.05,0.05,0.05
Welry,0.07,0.07,0.07
Western Digital,0.05,0.05,0.1
What Goes Around Comes Around,0.02,0.02,0.02
Whirlpool,0.03,0.03,0.03
Whistle,0.03,0.03,0.03
White + Warren,0.03,0.03,0.03
White Fox Boutique,0.03,0.03,0.04
White House Black Market,0.02,0.02,0.02
Wicked Good Cupcakes,0.06,0.06,0.06
Wig.com,0.02,0.02,0.02
Wild One,0.04,0.04,0.04
Wildling,0.04,0.04,0.04
Wilson Sporting Goods,0.02,0.02,0.02
Wilsons Leather,0.04,0.04,0.04
Wind & Weather,0.025,0.025,0.025
Windy City Novelties,0.06,0.06,0.06
Wine.com,0.05,0.025,0.025
Winebasket.com,0.06,0.06,0.06
Winky Lux,0.07,0.07,0.07
Wisconsin Made,0.035,0.035,0.035
Wise Emergency Foods,0.01,0.01,0.01
Wish,0.015,0.015,0.015
Wish Wholesale,0.1,0.1,0.1
Withings,0.015,0.015,0.015
Wolf & Badger,0.05,0.05,0.05
Wolfermans,0.025,0.025,0.025
Wolford,0.03,0.03,0.03
Wolven,0.02,0.02,0.02
Wolverine,0.035,0.035,0.035
Woman Within,0.02,0.02,0.02
Wondershare,0.15,0.15,0.15
Woodland Direct,0.015,0.015,0.015
Woods,0.01,0.01,0.01
Woodwind & Brasswind,,,0.025
Wooflinen,0.075,0.075,0.075
Woolrich,0.06,0.06,0.06
Wordery,0.03,0.03,0.03
World Wide Stereo,0.03,0.03,0.03
Worx,0.015,0.015,0.015
Woven Pear,0.1,0.1,0.1
Wrangler,0.02,0.02,0.02
Wren + Glory,0.02,0.02,0.02
X2 Performance,0.04,0.04,0.04
XCVI,0.035,0.035,0.035
Xtratuf,0.06,0.06,0.06
Xtrema,0.025,0.025,0.025
YCMC,0.03,0.03,0.03
YLANG 23,0.03,0.03,0.03
YLighting,0.025,0.025,0.025
YOOX,0.03,0.03,0.03
Yaasa,0.075,0.075,0.075
Yahoo! Small Business,0.125,0.125,0.125
Yandy.com,,0.02,0.02
Yankee Candle,0.01,0.01,0.01
Yelp for Business,0.2,0.2,0.2
YesAsia,0.025,0.025,0.025
Yesglasses,0.1,0.1,0.1
Yogasleep,0.03,0.03,0.03
Yoins,0.075,0.075,0.075
Yon-Ka Paris,0.04,0.04,0.04
Yubico,0.05,0.05,0.05
Yumi Kim,0.02,0.02,0.02
Yummie,0.015,0.03,0.03
Yummy Bazaar,0.01,0.01,0.01
Yves Rocher,0.075,0.075,0.075
Yves Saint Laurent Beauty,0.04,0.04,0.04
ZAGG invisibleSHIELD,0.03,0.03,0.03
ZQuiet,0.1,0.1,0.1
Zadig & Voltaire,0.04,0.04,0.04
Zaful,0.07,0.07,0.07
Zales,0.03,0.03,0.03
Zales Outlet,0.02,0.02,0.02
Zappos,0.01,0.01,0.05
Zavvi,0.01,0.01,0.01
Zazzle,0.05,0.05,0.05
Zenni Optical,0.025,0.025,0.025
Zesty Paws,0.035,0.035,0.035
Zimmermann,0.05,0.05,0.05
Zinus,0.05,0.025,0.1
ZitSticka,0.04,0.04,0.04
Zodiac Shoes,0.04,0.04,0.04
Zoro,0.06,0.04,0.08
Zulily,0.01,0.01,0.01
Zuma,0.025,0.025,0.025
Zutano,0.05,0.05,0.05
Zwilling,0.04,0.04,0.04
aden + anais,0.03,0.03,0.03
adidas,0.04,0.1,0.13
alice + olivia,0.02,0.02,0.02
avenue,0.025,0.025,0.025
bareMinerals,0.05,0.1,0.1
bebe,0.06,0.06,0.06
bloomscape,0.03,0.03,0.03
bluemercury,0.02,0.1,0.1
boba,0.035,0.035,0.035
boohoo,0.03,0.03,0.03
boohooMan,0.035,0.035,0.035
buybuy BABY,0.01,0.01,0.01
caseable,0.05,0.05,0.05
cbdMD,0.1,0.1,0.1
celltrient,0.1,0.1,0.1
chapters.indigo.ca,0.05,0.05,0.05
comiXology,0.04,0.04,0.04
dr. brandt skincare,0.08,0.08,0.08
dressbarn,0.02,0.02,0.02
e-File,0.28,0.28,0.28
e.l.f. Cosmetics,0.05,0.05,0.05
eBags,0.05,0.05,0.05
eBay,0.01,0.01,0.04
eCampus.com,0.035,0.035,0.035
eCreamery,0.025,0.025,0.025
eFollett,,0.02,0.02
eLuxury.com,0.1,0.1,0.1
eManualOnline,0.075,0.075,0.075
eNasco,0.025,0.025,0.025
ePackageSupply.com,0.035,0.035,0.035
ePlanters,0.04,0.04,0.04
ePromos,0.01,0.01,0.01
ePumps,0.015,0.015,0.015
eSmart Tax,0.05,0.05,0.05
eVitamins,0.03,0.03,0.03
eberjey,0.03,0.03,0.03
ecobee,0.04,0.04,0.04
edX,0.025,0.025,0.025
eharmony,0.15,0.15,0.15
ergobaby,0.02,0.02,0.02
ettitude,0.03,0.03,0.06
exante,0.1,0.1,0.105
ezpz,0.04,0.04,0.04
francesca’s,0.025,0.025,0.025
fresh,0.025,0.025,0.05
ghd,0.025,0.025,0.025
giggle,0.04,0.04,0.04
gorjana,0.03,0.03,0.03
hint,0.04,0.08,0.04
i-Blason,0.055,0.055,0.055
iHerb,0.02,0.02,0.04
iRobot,0.02,0.02,0.02
icebreaker,0.03,0.03,0.03
illesteva,0.075,0.075,0.075
illy,0.04,0.04,0.04
imPress,0.05,0.05,0.05
iolo technologies,0.1,0.1,0.1
italist.com,0.025,0.025,0.025
kate spade new york,0.03,0.03,0.03
kate spade surprise,0.03,0.03,0.03
kidpik,0.06,0.06,0.06
lookfantastic,0.04,0.07,0.04
mac of all trades,0.015,0.015,0.015
maurices,0.02,0.02,0.02
mindbodygreen,0.025,0.025,0.025
philosophy,0.025,0.025,0.025
plants.com,0.05,0.05,0.05
prAna,0.02,0.02,0.02
purlisse,0.1,0.1,0.1
quip,0.05,0.05,0.05
rag & bone,0.04,0.12,0.14
rue21,0.05,0.05,0.05
shopDisney,0.03,0.1,0.08
tarte cosmetics,0.05,0.05,0.05
vineyard vines,0.015,0.015,0.015
wet n wild,0.04,0.04,0.04
wisp,0.05,0.05,0.05
woot!,0.05,0.05,0.05
zChocolat,0.1,0.1,0.1
